Loc,LocName,LocStAbbrev,LocCnty,LocZone,DirFlo,LocTypeInd,Total_Design_Capacity,08/01/20,08/02/20,08/03/20,08/04/20,08/05/20,08/06/20,08/07/20,08/08/20,08/09/20,08/10/20,08/11/20,08/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20,08/18/20,08/19/20,08/20/20,08/21/20,08/22/20,08/23/20,08/24/20,08/25/20,08/26/20,08/27/20,08/28/20,08/29/20,08/30/20,08/31/20
"	72525","HOWELL OIL & GAS, INC. - GOOCH-GANT FIELDS CP, HARRISON CO.",TX,HARRISON,ETX,R,WHD,"2,348", -   ,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,9,10,1,1,1,1,1
"	72533","T & F EXPLORATION, LP., MM - SOMERSET CO., PA",PA,SOMERSET,2,D,LDC,"294,631",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"	72536","KENTUCKY ENERGY - METCALFE, KY",KY,METCALFE,2,D,LDC,"131,284",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,48,48,48
"	72554","BG PARTNERS,LLC - #1 SANNER, SOMERSET CO., PA",PA,SOMERSET,2,R,WHD,"191,432",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"	72566","AMERICAN MIDSTREAM -TENN INTRASTATE  COLBERT CO., AL",AL,COLBERT,1,D,INT,"157,102", -   ,0,0,0,0,0,0,5000,0,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72568","ENABLE GAS TRANSMISSION  WEST MONROE, LA",LA,OUACHITA,ELA,R,INT,"70,955","16,729",10000,10000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
"	72571","UGI UTIL (COLUMBIA GAS) - BALLY, PA",PA,BERKS,3,D,LDC,"66,456",130,130,130,130,130,130,130,130,130,130,121,116,0,125,130,130,130,130,130,130,130,130,130,126,125,130,129,121,130,130,127
"	72580","SOUTHCROSS MISSISSIPPI PIPELINE, LP- HINDS, MS - DEL (B/D 7",MS,HINDS,ELA,D,INT,"15,647","30,000",30000,30000,30000,30000,29096,30000,30000,30000,30000,30000,30000,52000,52000,46938,47000,47000,32000,47000,47000,32000,32000,32000,32000,32000,19000,19000,19000,32000,32000,32000
"	72584","WOODWARD MARKETING - SAN JACINTO COUNTY, TX",TX,SAN JACINTO,ETX,R,WHD,"46,674", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72587","NRG - BIG CAJUN ELECTRIC, COUPEE PSH., LA",LA,POINTE COUPEE,ELA,D,END,"189,294", -   ,0,0,14000,14000,8000,10000,5000,20000,27000,20000,8000,0,0,0,0,0,0,0,0,0,0,0,25000,15000,28000,15000,0,0,0,0
"	72594","MHT -ENERGY MKTG. -MONROE, MS",MS,MONROE,1,R,WHD,"167,636",60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
"	72597","ARKLA -MCRAE JUNCT. -WHITE, AR",AR,WHITE,1,D,LDC,"34,552",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"	72601","ENTERPRISE TEXAS PIPELINE LLC - MATAGORDA COUNTY, TX  (REC)",TX,MATAGORDA,STX,R,INT,"65,813", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72603","KINDER MORGAN TEJAS (FROM TE) UPRIVER RD., NUECES CO",TX,NUECES,STX,D,INT,"138,077","45,000",45000,45000,40000,40000,40000,40000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,17000,15000,15000,10000,10000,10000,5000,5000,5000,5000,5000
"	72604","ENTERGY LOUISIANA,LLC BEAUREGARD PSH., LA",LA,BEAUREGARD,WLA,D,INT,"5,345","67,410",67705,67635,79708,64708,65672,65672,49508,49781,49781,51891,74745,59854,69891,69817,69818,69818,59891,59891,54747,54891,54891,54761,74745,64745,0,0,0,0,0,0
"	72614","TRANSOK - OUACHITA PSH., LA",LA,OUACHITA,ELA,R,INT,"9,733","17,400",17400,17400,17400,17400,22400,22400,22400,22400,22400,22400,22400,27400,22400,17400,17400,17400,17400,22400,22300,22300,22300,22300,22300,22300,22500,2500,0,15000,15000,15000
"	72616","CANTIUM, LLC - MP 30",OF,MAIN PASS,ELA,R,WHD,"67,828",30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1,1,1,1,1,1,1
"	72621","WILLIAMS FIELD SERVICES  - DUVAL CO., TX",TX,DUVAL,STX,R,WHD,"37,855", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72626","WING CORP - C.P., DEWITT COUNTY, TX (REC)",TX,DE WITT,STX,R,WHD,"17,953", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72636","PECO ENERGY - MONTGOMERY CO., PA",PA,MONTGOMERY,3,D,LDC,"9,471", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72637",COLUMBIA GAS - PICKAWAY CO. OH,OH,PICKAWAY,2,D,INT,"72,653","3,000",3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,5500,5500,5500,5500,5500,5500,5500
"	72648","SO. IND. GAS & EL. -POSEY, IN",IN,POSEY,2,D,LDC,"9,044", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72649","SUN R&M - PHILADELPHIA CO., PA",PA,PHILADELPHIA,3,D,END,"35,876","5,248",4870,3124,4000,4000,4000,4000,4000,4000,4000,2485,3589,6078,4475,4526,3000,3000,5752,3280,6976,6000,6000,5000,6238,5553,5609,6000,5461,5514,7586,15000
"	72654","BLUESTONE NATURAL RESOURCES, LLC- BONNE TERRE FIELD, MCMULL",TX,MC MULLEN,STX,R,WHD,"16,086",120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
"	72655","ENTERPRISE TEXAS PIPELINE LLC - CALHOUN COUNTY, TX  (REC)",TX,CALHOUN,STX,R,INT,"55,428", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72664","ITAWAMBA GAS -ITAWAMBA CO., MS",MS,ITAWAMBA,1,D,LDC,"4,420",347,1188,1684,1684,1684,1684,1684,347,1188,1684,1684,1684,1684,1684,347,1188,1684,1684,1684,1684,1684,347,1188,1684,1684,1684,1684,1684,1650,1188,1684
"	72668","UNITED GAS & MINERALS - #1 GOFF, WHARTON COUNTY, TX",TX,WHARTON,STX,R,WHD,"196,049", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
